Karafun,"The first songbook that made it into our list that the current .csv is based on.
https://www.karafun.com/karaoke-song-list.html"
excesss,Probably the most complete. 50.000+ titles!
<a href=”http://songbookslive.com”>Songbooks live</a>,HTML-based songbook with search funcion and odd viewing terminology
http://www.karaokesongbook.net/T-Q.htm,"Also HTML-based, sorted by alphabet"
,
Thai Princess https://www.thaiprincess.eu/tp/songbook,Songbook of The Hague-based Karaoke bar Thai Princess
