,title,artist,,,,,,,,,,,,
25430,3,Britney Spears,2009,0,0,2011-05-30,Pop,Dance,R&B,English,,,,
12701,5,6,7,8,Steps,1997,0,0,2011-05-30,Electro,Country,English,,
55107,17,MK,2017,0,0,2018-03-13,Dance,Electro,English,,,,,
49640,21,Hunter Hayes,2015,0,0,2015-09-07,"Pop,Rock,Country,Teen pop",English,,,,,,
42069,22,Taylor Swift,2012,0,0,2012-12-10,Pop,English,,,,,,
23935,22,Lily Allen,2009,0,0,2011-05-30,Pop,English,,,,,,
45443,23,Mike WiLL Made It,2013,0,0,2016-02-24,Rap,English,,,,,,
16270,24,Jem,2003,0,0,2017-06-22,Rock,English,,,,,,
25646,45,Shinedown,2003,0,0,2011-05-31,Rock,Punk/Grunge,Hard/Metal,English,,,,
46084,45,Stars On 45,1981,0,0,2014-01-16,Disco,Pop,English,,,,,
29855,99,Toto,1979,0,0,2011-12-26,Rock,Pop,English,,,,,
40145,212,Azealia Banks,2011,0,1,2016-02-25,Rap,English,,,,,,
47890,747,Lady Antebellum,2014,0,0,2014-11-17,Pop,Country,English,,,,,
40041,1901,Birdy,2012,0,0,2016-06-05,Folk,Pop,English,,,,,
12512,1973,James Blunt,2007,0,0,2008-03-25,Pop,Rock,English,,,,,
28416,1976,Alan Jackson,2008,0,0,2011-09-28,Country,English,,,,,,
11039,1979,The Smashing Pumpkins,1995,0,0,2016-09-20,Rock,Alternative,English,,,,,
53361,1982,Randy Travis,1985,0,0,2018-07-17,Country,English,,,,,,
36762,1983,Neon Trees,2010,0,0,2016-02-25,Rock,Alternative,English,,,,,
14583,1985,Bowling for Soup,2004,0,0,2011-05-31,Punk/Grunge,Rock,Pop,English,,,,
43416,1994,Jason Aldean,2013,0,0,2013-05-08,Country,Rap,English,,,,,
55528,2002,Anne-Marie,2018,0,0,2018-06-14,Pop,English,,,,,,
46400,3005,Childish Gambino,2013,0,1,2016-02-25,Rap,English,,,,,,
34347,"¡Oh, vengan a adorarlo!",Christmas Carol,1782,0,0,2011-05-31,Christmas,Christian,Traditionnal,Spanish,,,,
21075,¿A quién le importa?,Alaska,1986,0,0,2017-10-13,80s,Spanish,,,,,,
47939,¿Cuando volverás?,Aventura,2004,0,0,2014-11-14,Latin,Spanish,,,,,,
31570,"¿Dónde estás, Yolanda?",Pink Martini,1999,0,0,2011-07-07,Latin,Jazz,Spanish,,,,,
27087,¿Y Cómo es Él?,José Luis Perales,1982,0,0,2011-12-18,Pop,Latin,Love,Spanish,,,,
5919,...Baby One More Time,Britney Spears,1999,0,0,2007-05-04,Teen pop,English,,,,,,
54155,...Baby One More Time,Postmodern Jukebox,2017,0,0,2017-10-21,Jazz,Pop,English,,,,,
55017,...Baby One More Time,Ed Sheeran,2017,0,0,2018-01-31,Pop,English,,,,,,
51668,...Baby One More Time,The Cooltrane Quartet,2015,0,0,2016-09-01,Jazz,Pop,English,,,,,
