17438,Young Blood,The Coasters,1957,0,0,2016-08-05,Blues,Oldies,English,,,,,
47282,Young Blood,Saint Raymond,2014,0,0,2016-02-25,Pop,English,,,,,,
13019,Young Folks,Peter Bjorn and John,2006,0,0,2018-03-13,Alternative,Rock,English,,,,,
27199,Young Forever,Jay-Z,2009,0,0,2011-05-30,Rap,Pop,English,,,,,
6034,Young Girl,Gary Puckett & The Union Gap,1968,0,0,2012-10-21,"Rock 'n Roll,Oldies",English,,,,,,
42640,Young Girls,Bruno Mars,2012,0,0,2013-04-01,Pop,English,,,,,,
13186,Young Hearts Run Free,Candi Staton,1976,0,0,2013-01-15,Disco,Soul,English,,,,,
10719,Young Love,Sonny James,1957,0,0,2011-12-26,Country,English,,,,,,
5757,Young Man's Town,Vince Gill,2003,0,0,2012-02-09,Country,English,,,,,,
54194,"Young, Dumb & Broke",Khalid,2017,0,0,2017-11-07,Pop,R&B,English,,,,,
39324,"Young, Wild & Free",Wiz Khalifa,2011,0,1,2016-02-25,Rap,Pop,English,,,,,
55596,Youngblood,5 Seconds of Summer,2018,0,0,2018-06-28,Pop,English,,,,,,
54164,Younger Now,Miley Cyrus,2017,0,0,2017-10-24,Pop,English,,,,,,
41720,Your Body,Christina Aguilera,2012,0,0,2012-10-15,R&B,Pop,Electro,English,,,,
33932,Your Body's Callin',R. Kelly,1994,0,0,2011-10-20,Soul,R&B,English,,,,,
6159,Your Cheatin' Heart,"Hank Williams, Sr.",1953,0,0,2011-10-08,Country,English,,,,,,
38017,Your Cheatin' Heart,Patsy Cline,1962,0,0,2018-06-27,Pop,Oldies,English,,,,,
50795,Your Cheatin' Heart,Elvis Presley,1958,0,0,2016-03-23,Rock,Oldies,English,,,,,
51136,Your Cheating Heart,Ray Charles,1962,0,0,2017-10-20,Soul,Love,English,,,,,
26060,Your Disco Needs You,Kylie Minogue,2001,0,0,2014-09-09,Disco,Dance,Pop,English,,,,
25448,Your Disease,Saliva,2001,0,0,2012-04-13,Hard/Metal,Rock,English,,,,,
7278,Your Everything,Keith Urban,1999,0,0,2011-05-30,Country,English,,,,,,
20823,Your Eyes,Cook da Books,1983,0,0,2018-03-27,"Love,Teen pop,TV & movie soundtrack",English,,,,,,
46575,Your Eyes,Simply Red,1999,0,0,2014-04-10,"Soft rock,Soul,Pop",English,,,,,,
5251,Your Game,Will Young,2004,0,0,2016-02-25,Funk,Pop,English,,,,,
18414,Your Good Girl's Gonna Go Bad,Tammy Wynette,1967,0,0,2015-01-28,Country,English,,,,,,
28854,Your Guardian Angel,The Red Jumpsuit Apparatus,2007,0,0,2011-05-30,Alternative,Hard/Metal,Folk,English,,,,
28420,Your Heart Is As Black As Night,Melody Gardot,2009,0,0,2011-12-23,Jazz,English,,,,,,
38518,Your Love,The Outfield,1986,0,0,2013-01-08,Rock,Pop,English,,,,,
33651,Your Love,Nicki Minaj,2010,0,0,2016-02-25,Rap,English,,,,,,
8796,Your Love,Jim Brickman,1998,0,0,2011-05-31,Pop,Love,English,,,,,
47198,Your Love,Nicole Scherzinger,2014,0,0,2016-02-25,Dance,Pop,English,,,,,
38206,Your Love (Once Upon A Time In The West),Ennio Morricone,2003,0,0,2012-10-24,"Classical,TV & movie soundtrack",English,,,,,,
18514,Your Love Is A Lie,Simple Plan,2008,0,0,2011-05-31,Rock,English,,,,,,
28197,Your Love Is My Drug,Kesha,2010,0,0,2011-05-30,Pop,Dance,Electro,English,,,,
24037,Your Loving Arms,Billie Ray Martin,1995,0,0,2012-03-20,Pop,Dance,Electro,English,,,,
6121,Your Mama Don't Dance,Loggins and Messina,1972,0,0,2011-07-04,Rock 'n Roll,English,,,,,,
47441,Your Mamma Don't Dance,Poison,1989,0,0,2014-09-01,Hard/Metal,Rock,English,,,,,
16401,Your Man,Josh Turner,2005,0,0,2011-11-30,Country,English,,,,,,
10477,Your Mother Should Know,The Beatles,1967,0,0,2014-08-24,Pop,Rock,English,,,,,
53038,Your Obedient Servant,Hamilton,2015,1,0,2017-05-18,Musical,Pop,Rap,Duet,English,,,
10204,Your Precious Love,Tammi Terrell,1967,1,0,2014-11-26,Soul,Pop,Duet,English,,,,
43721,Your Side Of The Bed,Little Big Town,2012,0,0,2013-07-08,"Country,Soft rock",English,,,,,,
48699,Your Side Of Town,Maddie & Tae,2014,0,0,2015-03-25,Country,Rock,English,,,,,
18066,Your Smiling Face,James Taylor,1977,0,0,2014-07-29,"Pop,Soft rock",English,,,,,,
5416,Your Song,Elton John,1969,0,0,2011-10-28,Pop,Love,English,,,,,
24094,Your Song,Moulin Rouge!,2001,0,0,2011-05-31,"Musical,TV & movie soundtrack",English,,,,,,
35050,Your Song,Ellie Goulding,2010,0,0,2011-05-31,Pop,Alternative,Folk,English,,,,
53778,Your Song,Rita Ora,2017,0,0,2017-08-20,Pop,Electro,English,,,,,
31545,Your Song,Billy Paul,1972,0,0,2011-05-31,Soul,Pop,Love,English,,,,
38363,Your Star,Evanescence,2006,0,0,2013-03-25,Hard/Metal,Alternative,Rock,English,,,,
15013,Your Time Has Come,Audioslave,2005,0,0,2012-04-03,Rock,Hard/Metal,English,,,,,
10238,Your Woman,White Town,1997,0,0,2018-03-29,Pop,Alternative,Electro,English,,,,
48291,Yours,Ella Henderson,2014,0,0,2014-12-26,Pop,English,,,,,,
54700,Yours,Russell Dickerson,2015,0,0,2018-01-04,Country,Pop,English,,,,,
18239,Yours Forever,John Mellencamp,2000,0,0,2012-08-31,"TV & movie soundtrack,Soft rock",English,,,,,,
53124,Yours If You Want It,Rascal Flatts,2017,0,0,2017-06-15,Country,Rock,English,,,,,
55675,Youth,Shawn Mendes,2018,1,0,2018-06-19,Pop,Folk,Electro,Duet,English,,,
45903,Youth,Foxes,2013,0,0,2017-11-15,Pop,English,,,,,,
34871,Yummy Yummy Yummy,Ohio Express,1968,0,0,2011-05-30,"Rock 'n Roll,Pop,Rock",English,,,,,,
40945,Z-Dance,Collectif Métissé,2012,0,0,2016-06-05,"French pop,Dance,Zouk/Creole",French,,,,,,
41363,Zabadak,Saragossa Band,1979,0,0,2013-06-10,Disco,Zouk/Creole,English,,,,,
49904,Zabiorę cię właśnie tam,Tomasz Karolak,2008,0,0,2017-11-16,"Pop,Soft rock,TV & movie soundtrack",Polish,,,,,,
38465,Zai zai zai,Leo Nardell,2011,0,0,2016-02-25,Pop,Dutch,,,,,,
40476,Zakka zakka,Arjon,2011,0,0,2016-02-11,Schlager,Dutch,,,,,,
45213,Zalele,Claudia & Asu,2013,0,0,2013-11-06,Dance,Latin,Spanish,,,,,
50772,Zanzibar,Billy Joel,1978,0,0,2016-07-11,"Soft rock,Pop,Rock,Jazz",English,,,,,,
56069,Zaterdag,Blof,1999,0,0,2018-09-04,Pop,Folk,Dutch,,,,,
26521,Zaubermond,Helene Fischer,2008,0,0,2013-04-24,"Love,Soft rock",German,,,,,,
39506,Zeg me,Willem Barth,2012,0,0,2012-05-11,Pop,Latin,Dutch,,,,,
40848,Zeg me dat het niet zo is,Edsilia Rombley,2012,0,0,2016-06-05,Soft rock,Dutch,,,,,,
40020,Zeg me dat het niet zo is,Frank Boeijen,1990,0,0,2016-06-05,Pop,Dutch,,,,,,
19541,Zehn Kleine Jägermeister,Die Toten Hosen,1996,0,0,2017-04-21,Punk/Grunge,Rock,German,,,,,
19611,Zehn Nackte Friseusen,Mickie Krause,1999,0,0,2017-12-04,Schlager,German,,,,,,
44338,Zeig mir den Platz an der Sonne,Udo Jürgens,1971,0,0,2016-06-07,Schlager,German,,,,,,
37837,Zeig mir wie du tanzt,Frida Gold,2010,0,0,2012-02-10,Pop,German,,,,,,
41392,Zeit in einer Flasche,Rebecca (musical),2006,0,0,2016-06-05,Musical,German,,,,,,
48461,Zeit zu gehen,Unheilig,2014,0,0,2016-08-25,Pop,Rock,Alternative,German,,,,
40395,ZeitverschwÄndung,Die Ärzte,2012,0,0,2016-06-05,Rock,Pop,German,,,,,
11809,Zen,Zazie,1995,0,0,2016-02-25,French pop,French,,,,,,
46350,Zero,Yeah Yeah Yeahs,2009,0,0,2014-03-05,Alternative,Rock,80s,Pop,Dance,Punk/Grunge,English,
41554,Zeven dagen lang,Bots,1976,0,0,2013-11-12,Folk,Pop,Celtic,Dutch,,,,
10644,Zidane y va marquer,Cauet,2006,0,0,2011-05-30,Dance,Humour,Zouk/Creole,French,,,,
33883,Zie wel hoe ik thuis kom,Jan Smit,2010,0,0,2016-06-05,Schlager,Pop,Dutch,,,,,
42323,Zieh dich an und geh,Nockalm Quintett,2011,0,0,2013-02-12,Schlager,German,,,,,,
52188,"Zieh dich nicht aus, Amore Mio",Dieter Thomas Kuhn,1997,0,0,2017-01-16,Schlager,German,,,,,,
26484,Zieh die Schuh aus,Roger Cicero,2006,0,0,2016-08-25,Jazz,German,,,,,,
16691,Zigeunerjunge,Alexandra,1967,0,0,2018-02-13,Schlager,German,,,,,,
12741,Ziggy Stardust,David Bowie,1972,0,0,2011-05-30,Rock,English,,,,,,
21484,Zij,Marco Borsato,2005,0,0,2011-05-30,"Soft rock,Pop",Dutch,,,,,,
30342,Zij gelooft in mij,André Hazes,1999,0,0,2014-10-30,Pop,Dutch,,,,,,
38045,Zij Gelooft In Mij,Do,2011,0,0,2014-10-30,Pop,Dutch,,,,,,
49720,Zij maakt het verschil,De Poema's,2001,0,0,2016-07-01,"Schlager,Soft rock",Dutch,,,,,,
54188,Zijn het je ogen,Koos Alberts,1987,0,0,2017-10-20,Schlager,Dutch,,,,,,
34433,Zing A Little Zong,1950s Standards,1952,1,0,2012-01-22,Oldies,Duet,English,,,,,
41726,Zing met me mee,Gerard Joling,1995,0,0,2012-11-19,Schlager,Dutch,,,,,,
24666,Zing Went The Strings Of My Heart,The Trammps,1972,0,0,2011-05-30,Pop,Soul,Disco,English,,,,
22541,"Zing, vecht, huil, bid, lach, werk en bewonder",Ramses Shaffy,1970,0,0,2011-05-31,Pop,Rock,Dutch,,,,,
35097,Zip Gun Bop,Royal Crown Revue,1996,0,0,2012-02-09,Rock 'n Roll,English,,,,,,
48644,Ziwui Ziwui,VoXXclub,2014,0,0,2016-08-25,Schlager,German,,,,,,
45054,Zizicoptère,Sébastien Patoche,2013,0,0,2016-02-25,"Humour,French pop,Zouk/Creole,Dance",French,,,,,,
41883,Zo heerlijk rustig,Wim Sonneveld,1962,0,0,2016-06-05,Oldies,Schlager,Dutch,,,,,
43317,Zo kan het dus ook,Nielson,2013,0,0,2013-04-26,Pop,Dutch,,,,,,
46541,Zo stil,Blof,2012,0,0,2014-08-11,Pop,Rock,Dutch,,,,,
27397,Zoe Jane,Staind,2004,0,0,2011-07-08,Rock,English,,,,,,
14236,Zombie,The Cranberries,1994,0,0,2011-11-02,Rock,Alternative,English,,,,,
55295,Zombie,Bad Wolves,2018,0,0,2018-04-04,Hard/Metal,Rock,English,,,,,
55525,Zombie,Postmodern Jukebox,2018,0,0,2018-05-30,Pop,Soul,English,,,,,
45947,Zombie,Maître Gims,2013,0,0,2014-11-03,"Rap,French pop",French,,,,,,
44754,Zombie,Olympe,2013,0,0,2013-09-10,Pop,English,,,,,,
47721,Zombie,Jamie T,2014,0,0,2016-02-25,Rock,Alternative,Pop,English,,,,
54911,Zombie Zoo,Tom Petty,1989,0,0,2018-02-01,Pop,Rock,English,,,,,
22542,Zonder Jou,Paul de Leeuw,2006,1,0,2011-05-30,"Love,Duet,Soft rock",Dutch,,,,,,
41823,Zoom,The Commodores,1977,0,0,2012-11-19,Soul,English,,,,,,
9092,Zoot Suit Riot,Cherry Poppin' Daddies,1997,0,0,2012-01-23,Jazz,English,,,,,,
42014,Zorro,TV Theme,1957,0,0,2012-12-10,TV & movie soundtrack,English,,,,,,
42013,Zorro (version française),TV Theme,1957,0,0,2015-03-27,TV & movie soundtrack,French,,,,,,
38216,Zorro est arrivé,Henri Salvador,1964,0,0,2013-07-01,"French pop,Humour",French,,,,,,
40304,Zou bisou bisou,Jessica Paré,2012,0,0,2014-05-07,"TV & movie soundtrack,Oldies,Pop",French,,,,,,
46464,Zou Bisou Bisou (English version),Jessica Paré,2012,0,0,2014-05-26,"TV & movie soundtrack,Oldies,Pop",English,,,,,,
38472,Zou Zo Graag,Jurk!,2010,1,0,2013-03-26,Pop,Duet,Dutch,,,,,
20262,Zouglou dance (joie de vivre),Magic System,2008,0,0,2016-10-01,"Zouk/Creole,French pop,Dance",French,,,,,,
26603,Zouk la sé sèl médikaman nou ni,Kassav,1984,0,0,2016-06-05,Zouk/Creole,Creole,,,,,,
55081,Zoutelande,Blof,2017,0,0,2018-02-23,Pop,Rock,Dutch,,,,,
55113,Zoutelande (feat. Geike Arnaert),Blof,2017,1,0,2018-02-26,Rock,Pop,Duet,Dutch,,,,
55856,Zu dir,Lea,2018,0,0,2018-07-28,Pop,Electro,German,,,,,
19749,Zu nah am Feuer,Stefan Waggershausen,2004,1,0,2017-02-15,Rock,Schlager,Love,Duet,German,,,
24462,Zu spät,Die Ärzte,2000,0,0,2012-12-17,Rock,German,,,,,,
35912,Zucker im Kaffee,Erik Silvester,1969,0,0,2013-01-21,Schlager,German,,,,,,
48134,Zuckerpuppen,Andreas Gabalier,2013,0,0,2015-01-12,Schlager,English,German,,,,,
49959,Zuckerpuppen,Sarah Connor,2014,0,0,2016-03-25,Schlager,German,,,,,,
53981,Zufällig,Peter Cornelius,1984,0,0,2017-11-14,Pop,Rock,German,,,,,
47357,Zuhause,Adel Tawil,2014,1,0,2014-12-23,Pop,Duet,German,,,,,
22493,Zuid-Afrika,Karin Bloemen,2000,0,0,2013-09-19,"Pop,Soft rock",Dutch,,,,,,
43495,Zullen we maar weer,Doble R,1982,0,0,2013-06-07,Latin,Zouk/Creole,Dutch,,,,,
42095,Zumba,Don Omar,2012,0,0,2014-06-28,Dance,Pop,Latin,Spanish,,,,
41626,Zumba He Zumba Ha,DJ Mam's,2011,0,0,2016-06-05,"Dance,Zouk/Creole,French pop",French,Spanish,Creole,,,,
41745,Zumba! (Danza Kuduro Remix),Este Habana,2012,0,0,2013-01-16,Dance,Latin,Spanish,,,,,
55434,Zusammen,Die Fantastischen Vier,2018,0,0,2018-05-17,Pop,German,,,,,,
41070,Zwart wit,Berget Lewis,2012,0,0,2012-09-26,Soul,Dutch,,,,,,
37832,"Zwarte haren, zwoele gitaren",Django Wagner,2011,0,0,2013-06-10,Schlager,Latin,Dutch,,,,,
16702,Zwei Kleine Italiener,Conny Froboess,1962,0,0,2014-06-25,Schlager,German,,,,,,
48780,Zwickt's mi,Wolfgang Ambros,1975,0,0,2016-06-07,Schlager,German,,,,,,
54835,Я сошла с ума,t.A.T.u.,2000,1,0,2018-02-14,80s,Pop,Duet,Other,,,,
,Together-Your Song-Let,& Elton John,,,,,,,,,,,,
,It Be,,,,,,,,,,,,,
,(There is) No Greater,"Winehouse, Amy",,,,,,,,,,,,
,Love,,,,,,,,,,,,,
,1,"Solveig, Martin & Sam",,,,,,,,,,,,
,,White,,,,,,,,,,,,
,,,,,,,,,,,,,,
