,title,artist,,,,,,,,,,,,
,He's In Town,"Rockin' Berries, The",,,,,,,,,,,,
,,,,,,,,,,,,,,
,He's My Son,"Schultz, Mark",,,,,,,,,,,,
,,,,,,,,,,,,,,
,He's My Weakness,"Reeves, Ronna",,,,,,,,,,,,
,,,,,,,,,,,,,,
,He's On The Phone,Saint Etienne,,,,,,,,,,,,
,,,,,,,,,,,,,,
,He's On The Way Home,"Toliver, Tony",,,,,,,,,,,,
,,,,,,,,,,,,,,
,He's So Fine,"Chiffons, The",,,,,,,,,,,,
,,,,,,,,,,,,,,
,He's So Gay,"Zappa, Frank",,,,,,,,,,,,
,,,,,,,,,,,,,,
,He's So Shy,"Pointer Sisters, The",,,,,,,,,,,,
,,,,,,,,,,,,,,
,He's The Greatest,Sister Sledge,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dancer,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hey,Lil' Jon & 3OH!3,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hey Baby,"Channel, Bruce",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,DJ Otzi,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,No Doubt,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,No Doubt & Bounty Killer,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Nugent, Ted",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Stuart, Marty",,,,,,,,,,,,
,,,,,,,,,,,,,,
,124facebook.com/excessskaraoke,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Song Title,Artist,,,,,,,,,,,,
,Hey Man Nice Shot,Filter,,,,,,,,,,,,
,"Hey Man, Nice Shot",Filter,,,,,,,,,,,,
,Hey Mr. Cottonpicker,"Ford, ""Tennessee"" Ernie",,,,,,,,,,,,
,Hey Mr. D.J. (Keep,Backstreet Boys,,,,,,,,,,,,
,Playin' This Song),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hey Mr. President,"Warren Brothers, The",,,,,,,,,,,,
,Hey Muma,Cam'ron & Vado,,,,,,,,,,,,
,Hey Nineteen,Steely Dan,,,,,,,,,,,,
,Hey Now,Tantric,,,,,,,,,,,,
,Hey Now Now,Swirl 360,,,,,,,,,,,,
,Hey Pachuco,Royal Crown Revue,,,,,,,,,,,,
,Hey Papi,"Cartana, Alex",,,,,,,,,,,,
,Hey Paula,Duets/Paul & Paula,,,,,,,,,,,,
,Hey Porsche,Nelly,,,,,,,,,,,,
,Hey Porshe (Clean),Nelly,,,,,,,,,,,,
,Hey Pretty,Poe,,,,,,,,,,,,
,Hey Pretty Girl,"Moore, Kip",,,,,,,,,,,,
,Hey Rock & Roll,Showaddywaddy,,,,,,,,,,,,
,Hey Sexy Lady,Shaggy & Brian & Tony,,,,,,,,,,,,
,,Gold,,,,,,,,,,,,
,Hey Soul Sister,Train,,,,,,,,,,,,
,Hey Stoopid,"Cooper, Alice",,,,,,,,,,,,
,Hey There,"Clooney, Rosemary",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Grace, Stephanie",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Ray, Johnnie",,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hey There Delilah,Plain White T's,,,,,,,,,,,,
,Hey There Lonely Girl,"Holman, Eddie",,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hey Tonight,Creedence Clearwater,,,,,,,,,,,,
,,Revival,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hey Whatever,Westlife,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hey Ya,"Cheese, Richard",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Outkast,,,,,,,,,,,,
,Hey You,311,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Bachman-Turner,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Overdrive,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Pink Floyd,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Hey, Big Spender","Bassey, Shirley",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Musical/Sweet Charity,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Hey, Soul Sister",Train,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hi Fidelity,Musical/Fame,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Hi Heel Sneakers,Cross Section,,,,,,,,,,,,
,,,,,,,,,,,,,,
