Id,Title, Artist, Year, Duo, Explicit, Date Added, Styles, Languages
12855,"You Don't Know What Love Is (You Just Do as You're Told)","The White Stripes",2007,0,0,2013-03-15,"Rock,Punk/Grunge,Alternative",English
53403,"Come What May","Vicky Léandros",1972,0,0,2017-06-19,Pop,English
35064,"What You Want",Mase,1998,0,0,2013-12-03,"R&B,Rap",English
28649,"What Are You Doing New Year's Eve","1940s Standards",1947,0,0,2011-12-09,"Love,Jazz,Christmas",English
49211,"What Colour Is The Wind","Mike Denver",2011,0,0,2015-06-18,Country,English
21578,"Tell Me What You See","The Beatles",1965,0,0,2013-12-06,Pop,English
23732,"Whatever Happened to Saturday Night?","The Rocky Horror Show",1970,0,0,2011-05-30,"Musical,TV & movie soundtrack,Rock 'n Roll",English
45467,"Do What U Want","Lady Gaga",2013,1,1,2013-12-11,"80s, Pop,R&B,Duet",English
25821,"What Made You Say That","Shania Twain",1993,0,0,2013-12-01,"Country,Soft rock",English
42072,"What Could Have Been Love",Aerosmith,2012,0,0,2012-11-23,Rock,English
53282,Whatchugot,"Caro Emerald",2017,0,0,2017-07-10,Pop,English
47710,"What Is Love",Kiesza,2014,0,0,2014-10-07,Pop,English
25689,"Jesus Oh What A Wonderful Child","Mariah Carey",1994,0,0,2011-05-30,"Christmas,Gospel,Christian",English
42325,"What Now My Love","Shirley Bassey",1962,0,0,2016-06-07,"Pop,Jazz",English
25401,"What Dreams Are Made Of (Ballad Version)","Hilary Duff",2003,0,0,2016-08-25,"TV & movie soundtrack,Teen pop",English
35829,"What The Hell","Avril Lavigne",2011,0,0,2011-05-30,"Teen pop,Rock,Pop",English
48524,"What I Did For Love","David Guetta",2014,0,0,2015-02-13,"Pop,Dance,Electro",English
29651,"Over The Rainbow / What A Wonderful World","Aselin Debison",2002,0,0,2011-05-31,"Soft rock,Pop",English
50926,"What's Going On",Seal,2011,0,0,2016-04-05,"Pop,Soul",English
48201,"What We Ain't Got","Jake Owen",2014,0,0,2014-12-26,Country,English
17793,"What Is This Thing Called Love?","Frank Sinatra",1953,0,0,2011-05-31,"Jazz,Traditionnal",English
25017,"I Just Don't Know What To Do With Myself","Dionne Warwick",1966,0,0,2011-11-25,"Pop,Soul",English
30682,"What Have You Done","Within Temptation",2007,0,0,2011-05-31,Hard/Metal,English
39933,"You Can't Get What You Want (Till You Know What You Want)","Joe Jackson",1984,0,0,2013-05-13,"Pop,Jazz,Soul",English
43104,"You Don't Know What Love Is","George Benson",1989,0,0,2013-05-21,"Soul,Jazz",English
18275,"Whatever Gets You Thru The Night","John Lennon",1974,0,0,2012-05-17,Rock,English
25738,"What About Now",Westlife,2009,0,0,2011-05-30,"Teen pop,Pop,R&B",English
50428,"What I like About You","5 Seconds of Summer",2014,0,0,2016-02-09,"Teen pop,Pop,Rock",English
36500,"Shoop / Whatta Man / My Lovin' (You're Never Gonna Get It)","The Dan Band",2005,0,0,2013-07-24,"Humour,Funk,Pop,R&B",English
7409,"What About Now",Lonestar,2000,0,0,2018-05-22,Country,English
